N,NNF nodes,POG nodes,Def clauses,Just clauses,Tot clauses,Gen secs,Hint secs,Check secs
3,35,15,72,32,126,0.0,0.035,0.0
4,112,51,284,148,512,0.01,0.038,0.01
5,316,192,1276,760,2511,0.05,0.049,0.05
6,717,528,3523,2177,7140,0.16,0.09,0.2
7,2426,1818,14771,10627,31568,0.96,0.34,0.97
8,11038,8445,81916,79076,198898,10.45,3.936,9.69
9,19768,15837,132742,109351,311735,15.23,5.974,18.73
10,41078,30642,254057,221042,637522,36.57,14.557,47.62
11,158385,119514,1168520,1343243,3182490,408.79,338.972,494.41
12,258274,176049,1665683,1883210,4679412,941.83,583.839,987.78
