N,NNF nodes,POG nodes,Unhinted Asserts,Just clauses,Tot clauses,D4 secs,Gen secs,Hint secs,(Cadical),(Drat-Trim),Check secs,FCheck secs
3,35,35,31,20,120,5.7e-05,0.0,0.04,0.0,0.03,0.0,0.001
4,112,109,106,89,477,0.000246,0.01,0.04,0.0,0.03,0.01,0.002
5,316,312,466,330,2118,0.000961,0.05,0.07,0.0,0.04,0.03,0.008
6,717,730,1785,1022,7344,0.002959,0.14,0.17,0.02,0.04,0.12,0.03
7,2426,2403,5041,5375,24894,0.013434,0.72,0.64,0.09,0.1,0.59,0.126
8,11038,11392,31951,35993,134813,0.095582,5.66,5.37,1.29,1.21,5.75,0.925
9,19768,20147,41418,43369,225943,0.127568,9.27,8.03,2.35,1.05,12.81,1.677
10,41078,35875,84710,76314,418735,0.263493,20.32,16.46,5.21,1.54,33.61,3.931
11,158385,141880,611670,524165,1997763,4.408464,119.28,244.48,126.83,60.64,454.34,22.014
12,258274,191060,844965,830587,2922700,2.433415,203.47,307.92,106.79,98.67,860.56,41.908
13,1285469,1000003,6404916,5452686,16451293,841.290888,1419.16,9472.28,3577.51,5211.43,40705.31,276.898
